label,seed,model,n_train,method,std,sigma_rob_zero,sigma_rob_center,mae,mean_bias,median_bias,r2,n_test,train_r2
teff,0,lgbm_pixels,1000,clean,61.057971986523974,29.881008423825417,29.1369940237418,35.72032525807153,4.9935251225649235,3.480140914607773,0.9938802681418655,5000,0.9999779602018181
teff,0,lgbm_pixels,1000,bsn,87.46230944098677,59.51858384653411,58.06171428610513,60.190285323827204,8.908165114969734,6.748491014409183,0.9873969269636486,5000,0.9999779602018181
teff,0,lgbm_pixels,1000,boxcar,251.74927009339734,201.51107574107186,200.63469267413294,187.1426602583884,-31.82288404291572,5.62112796481324,0.8950037977518451,5000,0.9999779602018181
teff,0,lgbm_pixels,1000,savgol,257.8947506335742,206.26977254146996,204.92256748231264,191.29765629189168,-32.782986843347494,3.940023511353729,0.889795542104928,5000,0.9999779602018181
teff,0,lgbm_pixels,1000,noisy,376.2778126695011,348.17522840519024,339.3844516572105,295.52742944029717,-45.00096103101198,26.593948003789592,0.7658266604966002,5000,0.9999779602018181
teff,0,lgbm_pixels,3000,clean,43.752705878205084,17.926929439918254,17.740353947192368,24.455888302060433,-0.12145569358671136,0.898746693144858,0.9968784829630218,5000,0.9999707192473518
teff,0,lgbm_pixels,3000,bsn,78.64239331319838,48.618677365014335,48.17153511780603,53.039566635440664,3.524963016907931,2.477374150530295,0.989894969550496,5000,0.9999707192473518
teff,0,lgbm_pixels,3000,boxcar,240.5306940240568,182.01446816129194,181.94191075993047,175.23046764423253,-31.310897131810734,4.875844085795961,0.9040618932823503,5000,0.9999707192473518
teff,0,lgbm_pixels,3000,savgol,243.94117246232528,188.1239087903464,186.85560035938832,177.68133721405445,-32.429602728629824,4.9580796725017535,0.9012513782195855,5000,0.9999707192473518
teff,0,lgbm_pixels,3000,noisy,362.931859441582,324.43028231831966,319.7399077650399,280.65674166705867,-52.803362938852274,13.062279561785317,0.780669124868403,5000,0.9999707192473518
teff,0,lgbm_pixels,10000,clean,28.16157138187695,12.128620304561823,12.171268616905225,16.6566855555263,0.44766365791153667,0.7102816920823898,0.9987064714285074,5000,0.999854751013021
teff,0,lgbm_pixels,10000,bsn,73.4247479072339,42.72762877559251,43.162932631605315,48.71481716281545,4.2678824932741835,3.139358103403083,0.9911793152229941,5000,0.999854751013021
teff,0,lgbm_pixels,10000,boxcar,220.13702044173104,173.29604239050002,168.2003878256446,159.96711663194864,-16.350204990834275,16.378846954830806,0.9205437837570036,5000,0.999854751013021
teff,0,lgbm_pixels,10000,savgol,222.14166065245786,173.58674440655966,168.8464170502223,162.1506821455216,-16.47627079405404,16.79386483103758,0.9190913131652557,5000,0.999854751013021
teff,0,lgbm_pixels,10000,noisy,338.3949527338781,295.32140190761925,288.0687198910446,260.05494225371285,-37.3467943125417,28.00257757339773,0.8110015798373131,5000,0.999854751013021
teff,0,lgbm_pixels,30000,clean,22.357579039377935,10.68616024034316,10.633040730586275,13.679627535378211,0.10307285305739251,0.5984465071669547,0.9991848992199442,5000,0.9997138729812682
teff,0,lgbm_pixels,30000,bsn,71.05034202367823,41.988662858275646,41.74360466323489,47.202080364659054,3.7583893673445847,2.651343939038725,0.9917453550265422,5000,0.9997138729812682
teff,0,lgbm_pixels,30000,boxcar,210.91315373222363,161.3625572435476,158.8907887854002,152.6836707322368,-12.46765940333923,17.559769806470968,0.9272094873138778,5000,0.9997138729812682
teff,0,lgbm_pixels,30000,savgol,213.8917084954739,165.7062203674418,160.47283780844404,155.09774528466397,-11.199952635685909,17.783571292406577,0.9251951819665246,5000,0.9997138729812682
teff,0,lgbm_pixels,30000,noisy,321.0238354710904,278.108834605704,260.2931418882055,244.9352515582637,-33.79489305764839,34.70163995426287,0.8300921009669532,5000,0.9997138729812682
teff,2,lgbm_pixels,1000,clean,60.35721910252553,29.713375729511018,29.551431496802614,36.76987559786516,-0.5822862514115181,1.8959565990874125,0.9941580328784368,5000,0.9999822432223247
teff,2,lgbm_pixels,1000,bsn,87.83917182740225,60.43675344429184,59.95841246423818,60.986235145874964,3.5273580890209857,3.379955946919381,0.9876081404065745,5000,0.9999822432223247
teff,2,lgbm_pixels,1000,boxcar,246.44237746548043,200.42356283817932,199.71022623782898,183.48807126607105,-38.43246949377948,1.359792730457002,0.9002468241033877,5000,0.9999822432223247
teff,2,lgbm_pixels,1000,savgol,251.81347280922964,204.31710400307546,204.27629243505714,187.79169942143653,-39.56794604878818,-1.0720457691534193,0.8958136407668144,5000,0.9999822432223247
teff,2,lgbm_pixels,1000,noisy,383.96779474800536,358.10460965809483,357.6427883855034,302.01607035775504,-57.85828346343999,5.308439825525966,0.7582309699218529,5000,0.9999822432223247
teff,2,lgbm_pixels,3000,clean,40.36443702416093,18.06453876983024,18.250010689462396,24.036883703949524,-0.9542976640667117,0.6519912611997825,0.9973860292418515,5000,0.9999716528352917
teff,2,lgbm_pixels,3000,bsn,77.34918720191058,48.95236135721819,48.350900448812254,52.49931221529968,4.762156995747431,2.94121170612857,0.9903702539556931,5000,0.9999716528352917
teff,2,lgbm_pixels,3000,boxcar,232.94858490209887,182.6242825896494,182.07674715757662,170.59800575927525,-30.208471003376822,5.299594365050325,0.9115245025933442,5000,0.9999716528352917
